method,task,dataset,scene,jsr,textual_only_p_roc,normal_patch_only_p_roc,current_harmonic_p_roc,gate_norm_beta0.25_p_roc,add_norm_beta0.25_p_roc,gate_norm_beta0.5_p_roc,add_norm_beta0.5_p_roc,gate_norm_beta1_p_roc,add_norm_beta1_p_roc,gate_norm_beta2_p_roc,add_norm_beta2_p_roc,gate_norm_beta4_p_roc,add_norm_beta4_p_roc,formal_baseline_p_roc,delta_textual_only_p_roc_vs_formal,delta_normal_patch_only_p_roc_vs_formal,delta_current_harmonic_p_roc_vs_formal,delta_gate_norm_beta0.25_p_roc_vs_formal,delta_add_norm_beta0.25_p_roc_vs_formal,delta_gate_norm_beta0.5_p_roc_vs_formal,delta_add_norm_beta0.5_p_roc_vs_formal,delta_gate_norm_beta1_p_roc_vs_formal,delta_add_norm_beta1_p_roc_vs_formal,delta_gate_norm_beta2_p_roc_vs_formal,delta_add_norm_beta2_p_roc_vs_formal,delta_gate_norm_beta4_p_roc_vs_formal,delta_add_norm_beta4_p_roc_vs_formal
seg_prompt_normal_gallery_fusion,seg,burst_signal,WeaponMuseum_spectrum,m10db,97.27750281590586,98.66283861045684,98.72041501009015,98.28699542627733,98.34010513015286,98.3795454356657,98.04907985823682,98.37706760027575,97.40542787522963,98.32969332358783,96.73306904056737,98.26262276235141,96.28365735565163,98.7204,-1.4428971840941358,-0.05756138954315304,1.5010090152145494e-05,-0.43340457372266883,-0.380294869847134,-0.3408545643342933,-0.6713201417631751,-0.3433323997242468,-1.3149721247703638,-0.39070667641216517,-1.9873309594326258,-0.45777723764858536,-2.436742644348371
seg_prompt_normal_gallery_fusion,seg,burst_signal,WeaponMuseum_spectrum,m20db,96.82074435801651,98.2316344857105,98.42626517572364,98.32135491146067,98.39377853280588,98.43177009220261,98.05508756342701,98.42994505098217,97.37413223488073,98.36673207093287,96.7231384417691,98.2802119530572,96.2645630358392,98.4263,-1.6055556419834858,-0.19466551428949685,-3.482427635503882e-05,-0.10494508853932416,-0.03252146719411542,0.005470092202614296,-0.3712124365729892,0.003645050982171938,-1.0521677651192647,-0.05956792906712849,-1.703161558230903,-0.14608804694279343,-2.161736964160795
seg_prompt_normal_gallery_fusion,seg,burst_signal,WeaponMuseum_spectrum,m30db,93.97278310696686,95.15411517705317,95.90531682412467,97.44828968451506,97.76424428807218,97.7420692572026,97.47473115178971,97.81274998949081,96.885864564901,97.7763632107058,96.33205545230952,97.69920410594214,95.97408994190545,95.9053,-1.9325168930331387,-0.7511848229468256,1.6824124671188656e-05,1.5429896845150637,1.8589442880721805,1.8367692572026044,1.5694311517897148,1.9074499894908143,0.9805645649010017,1.871063210705799,0.4267554523095214,1.793904105942147,0.06878994190545029
seg_prompt_normal_gallery_fusion,seg,burst_signal,Playground_spectrum,m10db,96.5801682680699,98.95556214875263,98.97463636418334,98.30240401749289,98.28536468348655,98.38411977743718,97.93701380086898,98.3565963883234,97.36655929649139,98.27484096288872,96.82252502333301,98.18424183745536,96.46511763810757,98.9747,-2.394531731930101,-0.01913785124736478,-6.363581665880247e-05,-0.6722959825071086,-0.6893353165134499,-0.5905802225628207,-1.0376861991310165,-0.6181036116766023,-1.6081407035086102,-0.6998590371112812,-2.152174976666984,-0.7904581625446383,-2.509582361892427
seg_prompt_normal_gallery_fusion,seg,burst_signal,Playground_spectrum,m20db,96.32589007076639,98.47442157833872,98.52008608044295,98.14405195619472,98.05805919598323,98.21091846230199,97.71964112666012,98.15715576865054,97.2352290637213,98.06398362101842,96.7881525788794,97.975741854833,96.49528528234,98.5201,-2.194209929233608,-0.04567842166127889,-1.391955704832526e-05,-0.3760480438052838,-0.46204080401676606,-0.3091815376980094,-0.8004588733398776,-0.3629442313494593,-1.2848709362786934,-0.45611637898157653,-1.7319474211205943,-0.5443581451669957,-2.024814717659993
seg_prompt_normal_gallery_fusion,seg,burst_signal,Playground_spectrum,m30db,91.02827405711098,95.67065130265372,95.75444073673106,97.12851614499874,97.19581087795481,97.35397940293913,96.84359994665527,97.30774561193918,96.36101227823927,97.19674309696458,95.9431036547595,97.09242779674712,95.67216866588973,95.7544,-4.726125942889027,-0.08374869734628021,4.07367310515383e-05,1.3741161449987374,1.4414108779548087,1.5995794029391277,1.0891999466552704,1.5533456119391786,0.6066122782392682,1.4423430969645779,0.18870365475949313,1.338027796747113,-0.08223133411027561
seg_prompt_normal_gallery_fusion,seg,burst_signal,TimeSquare_spectrum,m10db,98.1617684687595,98.97865837003101,99.00184331665258,98.66660795376761,98.64720103304315,98.68588109323325,98.4135865834725,98.66796347406427,97.8559922463856,98.6261043218246,97.2221374921189,98.57591239418511,96.77053655889418,99.0019,-0.8401315312405018,-0.02324162996899304,-5.668334742381376e-05,-0.3352920462323965,-0.3546989669568603,-0.31601890676675737,-0.5883134165275123,-0.33393652593574075,-1.1459077536144093,-0.3757956781754075,-1.7797625078811024,-0.42598760581489614,-2.2313634411058274
seg_prompt_normal_gallery_fusion,seg,burst_signal,TimeSquare_spectrum,m20db,98.55595239588261,98.95726654925129,99.00586567599831,98.90910212019577,98.84736523093535,98.90881090666504,98.61979688662359,98.87565925937352,98.12847605087568,98.82538638260051,97.60489034942017,98.77261862382456,97.2281660436169,99.0058,-0.44984760411738023,-0.04853345074870674,6.56759983144184e-05,-0.09669787980422484,-0.15843476906464105,-0.09698909333495465,-0.3860031133764039,-0.13014074062647296,-0.8773239491243174,-0.18041361739948059,-1.4009096505798198,-0.23318137617543755,-1.7776339563830987
seg_prompt_normal_gallery_fusion,seg,burst_signal,TimeSquare_spectrum,m30db,96.70848208663647,97.41832462218598,97.89780205629147,98.22532030639996,98.25036061905486,98.3159119091355,97.98447049580112,98.3040765894329,97.47868335450462,98.24491554229846,97.00486171120897,98.1688663353887,96.69166845618298,97.8975,-1.1890179133635286,-0.4791753778140162,0.0003020562914741731,0.3278203063999712,0.35286061905486577,0.4184119091355001,0.08697049580112548,0.40657658943290187,-0.4188166454953688,0.3474155422984637,-0.8926382887910194,0.2713663353887057,-1.2058315438170126
seg_prompt_normal_gallery_fusion,seg,burst_signal,Gymnasium_spectrum,m10db,97.40872281138225,98.78950989487589,98.8090251921704,98.29692218915491,98.33398200921177,98.37276196354259,98.00869288831073,98.37588192527765,97.22714279857976,98.3351765314542,96.3617900283371,98.2604306301639,95.77624862761424,98.809,-1.4002771886177499,-0.019490105124106094,2.5192170397758673e-05,-0.512077810845085,-0.47501799078823126,-0.43623803645741077,-0.8003071116892642,-0.4331180747223442,-1.5818572014202346,-0.4738234685458025,-2.4472099716629003,-0.5485693698361018,-3.0327513723857606
