method,task,dataset,scene,jsr,promptad_rescore_auc,resnet18_layer2_gallery_top0.1_auc,resnet18_layer2_fusion_raw_lam0.2_auc,resnet18_layer2_fusion_minmax_lam0.2_auc,resnet18_layer2_fusion_z_lam0.2_auc,resnet18_layer2_fusion_raw_lam0.5_auc,resnet18_layer2_fusion_minmax_lam0.5_auc,resnet18_layer2_fusion_z_lam0.5_auc,resnet18_layer2_fusion_raw_lam1_auc,resnet18_layer2_fusion_minmax_lam1_auc,resnet18_layer2_fusion_z_lam1_auc,resnet18_layer2_fusion_raw_lam1.5_auc,resnet18_layer2_fusion_minmax_lam1.5_auc,resnet18_layer2_fusion_z_lam1.5_auc,resnet18_layer2_fusion_raw_lam2_auc,resnet18_layer2_fusion_minmax_lam2_auc,resnet18_layer2_fusion_z_lam2_auc,resnet18_layer2_fusion_raw_lam3_auc,resnet18_layer2_fusion_minmax_lam3_auc,resnet18_layer2_fusion_z_lam3_auc,resnet18_layer3_gallery_top0.1_auc,resnet18_layer3_fusion_raw_lam0.2_auc,resnet18_layer3_fusion_minmax_lam0.2_auc,resnet18_layer3_fusion_z_lam0.2_auc,resnet18_layer3_fusion_raw_lam0.5_auc,resnet18_layer3_fusion_minmax_lam0.5_auc,resnet18_layer3_fusion_z_lam0.5_auc,resnet18_layer3_fusion_raw_lam1_auc,resnet18_layer3_fusion_minmax_lam1_auc,resnet18_layer3_fusion_z_lam1_auc,resnet18_layer3_fusion_raw_lam1.5_auc,resnet18_layer3_fusion_minmax_lam1.5_auc,resnet18_layer3_fusion_z_lam1.5_auc,resnet18_layer3_fusion_raw_lam2_auc,resnet18_layer3_fusion_minmax_lam2_auc,resnet18_layer3_fusion_z_lam2_auc,resnet18_layer3_fusion_raw_lam3_auc,resnet18_layer3_fusion_minmax_lam3_auc,resnet18_layer3_fusion_z_lam3_auc,formal_baseline_auc,delta_promptad_rescore_auc_vs_formal,delta_resnet18_layer2_gallery_top0.1_auc_vs_formal,delta_resnet18_layer2_fusion_raw_lam0.2_auc_vs_formal,delta_resnet18_layer2_fusion_minmax_lam0.2_auc_vs_formal,delta_resnet18_layer2_fusion_z_lam0.2_auc_vs_formal,delta_resnet18_layer2_fusion_raw_lam0.5_auc_vs_formal,delta_resnet18_layer2_fusion_minmax_lam0.5_auc_vs_formal,delta_resnet18_layer2_fusion_z_lam0.5_auc_vs_formal,delta_resnet18_layer2_fusion_raw_lam1_auc_vs_formal,delta_resnet18_layer2_fusion_minmax_lam1_auc_vs_formal,delta_resnet18_layer2_fusion_z_lam1_auc_vs_formal,delta_resnet18_layer2_fusion_raw_lam1.5_auc_vs_formal,delta_resnet18_layer2_fusion_minmax_lam1.5_auc_vs_formal,delta_resnet18_layer2_fusion_z_lam1.5_auc_vs_formal,delta_resnet18_layer2_fusion_raw_lam2_auc_vs_formal,delta_resnet18_layer2_fusion_minmax_lam2_auc_vs_formal,delta_resnet18_layer2_fusion_z_lam2_auc_vs_formal,delta_resnet18_layer2_fusion_raw_lam3_auc_vs_formal,delta_resnet18_layer2_fusion_minmax_lam3_auc_vs_formal,delta_resnet18_layer2_fusion_z_lam3_auc_vs_formal,delta_resnet18_layer3_gallery_top0.1_auc_vs_formal,delta_resnet18_layer3_fusion_raw_lam0.2_auc_vs_formal,delta_resnet18_layer3_fusion_minmax_lam0.2_auc_vs_formal,delta_resnet18_layer3_fusion_z_lam0.2_auc_vs_formal,delta_resnet18_layer3_fusion_raw_lam0.5_auc_vs_formal,delta_resnet18_layer3_fusion_minmax_lam0.5_auc_vs_formal,delta_resnet18_layer3_fusion_z_lam0.5_auc_vs_formal,delta_resnet18_layer3_fusion_raw_lam1_auc_vs_formal,delta_resnet18_layer3_fusion_minmax_lam1_auc_vs_formal,delta_resnet18_layer3_fusion_z_lam1_auc_vs_formal,delta_resnet18_layer3_fusion_raw_lam1.5_auc_vs_formal,delta_resnet18_layer3_fusion_minmax_lam1.5_auc_vs_formal,delta_resnet18_layer3_fusion_z_lam1.5_auc_vs_formal,delta_resnet18_layer3_fusion_raw_lam2_auc_vs_formal,delta_resnet18_layer3_fusion_minmax_lam2_auc_vs_formal,delta_resnet18_layer3_fusion_z_lam2_auc_vs_formal,delta_resnet18_layer3_fusion_raw_lam3_auc_vs_formal,delta_resnet18_layer3_fusion_minmax_lam3_auc_vs_formal,delta_resnet18_layer3_fusion_z_lam3_auc_vs_formal
cls_resnet_gallery_fusion,cls,burst_signal,WeaponMuseum_spectrum,m10db,80.13736263736264,79.17582417582418,81.81318681318682,81.15384615384616,81.0989010989011,82.63736263736263,81.86813186813188,81.92307692307692,82.3076923076923,82.58241758241758,82.63736263736263,82.14285714285714,82.25274725274726,82.36263736263736,81.64835164835165,82.41758241758241,82.52747252747253,81.04395604395604,82.03296703296704,81.92307692307692,91.2087912087912,89.01098901098901,83.79120879120879,82.96703296703298,90.76923076923077,87.36263736263736,86.26373626373626,90.93406593406593,89.94505494505495,89.01098901098901,90.98901098901099,90.65934065934066,90.05494505494505,91.04395604395604,90.87912087912088,90.65934065934066,91.04395604395604,90.93406593406593,90.82417582417582,90.2747,-10.137337362637354,-11.09887582417582,-8.461513186813178,-9.120853846153835,-9.1757989010989,-7.637337362637368,-8.406568131868113,-8.351623076923076,-7.967007692307689,-7.692282417582419,-7.637337362637368,-8.131842857142857,-8.02195274725274,-7.912062637362638,-8.626348351648346,-7.857117582417587,-7.74722747252747,-9.230743956043952,-8.24173296703296,-8.351623076923076,0.9340912087912017,-1.2637109890109883,-6.483491208791207,-7.307667032967018,0.4945307692307779,-2.912062637362638,-4.010963736263733,0.6593659340659315,-0.3296450549450469,-1.2637109890109883,0.7143109890109969,0.3846406593406613,-0.21975494505494453,0.7692560439560481,0.6044208791208803,0.3846406593406613,0.7692560439560481,0.6593659340659315,0.5494758241758291
cls_resnet_gallery_fusion,cls,burst_signal,WeaponMuseum_spectrum,m20db,76.20879120879121,72.63736263736263,77.80219780219781,77.36263736263737,77.36263736263737,77.3076923076923,77.91208791208793,77.91208791208793,76.59340659340658,77.3076923076923,77.3076923076923,75.43956043956044,76.97802197802199,76.92307692307693,75.21978021978022,76.42857142857142,76.42857142857142,74.8901098901099,75.43956043956044,75.43956043956044,87.91208791208791,85.16483516483517,80.71428571428572,79.83516483516485,87.08791208791207,84.17582417582418,82.96703296703298,88.07692307692307,86.59340659340658,85.54945054945054,87.9120879120879,87.25274725274724,86.75824175824175,87.91208791208791,87.52747252747251,87.25274725274724,88.13186813186813,88.02197802197801,87.85714285714285,85.7692,-9.560408791208786,-13.13183736263737,-7.967002197802188,-8.406562637362626,-8.406562637362626,-8.461507692307691,-7.857112087912071,-7.857112087912071,-9.175793406593414,-8.461507692307691,-8.461507692307691,-10.32963956043956,-8.791178021978013,-8.846123076923064,-10.549419780219779,-9.340628571428581,-9.340628571428581,-10.8790901098901,-10.32963956043956,-10.32963956043956,2.1428879120879145,-0.6043648351648301,-5.0549142857142755,-5.9340351648351515,1.3187120879120755,-1.5933758241758227,-2.80216703296702,2.307723076923068,0.8242065934065863,-0.2197494505494575,2.1428879120879003,1.4835472527472433,0.9890417582417541,2.1428879120879145,1.7582725274725135,1.4835472527472433,2.3626681318681335,2.252778021978017,2.087942857142849
cls_resnet_gallery_fusion,cls,burst_signal,WeaponMuseum_spectrum,m30db,67.3076923076923,62.30769230769231,67.85714285714285,67.91208791208791,67.80219780219781,67.63736263736263,67.36263736263736,67.36263736263737,66.97802197802197,67.47252747252747,67.47252747252747,65.82417582417582,67.14285714285715,67.08791208791209,65.82417582417582,66.59340659340658,66.59340659340658,64.45054945054946,65.98901098901099,65.93406593406593,79.45054945054946,75.43956043956042,71.53846153846153,70.54945054945055,77.74725274725274,74.78021978021978,73.4065934065934,78.73626373626374,76.97802197802199,76.31868131868133,79.06593406593406,77.85714285714286,77.52747252747253,79.34065934065934,78.4065934065934,77.85714285714286,79.3956043956044,78.95604395604396,78.57142857142857,73.6264,-6.318707692307697,-11.318707692307697,-5.769257142857157,-5.714312087912091,-5.824202197802194,-5.989037362637376,-6.263762637362646,-6.263762637362632,-6.648378021978033,-6.153872527472529,-6.153872527472529,-7.802224175824179,-6.483542857142851,-6.538487912087916,-7.802224175824179,-7.03299340659342,-7.03299340659342,-9.175850549450544,-7.637389010989011,-7.692334065934077,5.824149450549456,1.81316043956042,-2.087938461538471,-3.0769494505494492,4.120852747252741,1.1538197802197772,-0.21980659340660225,5.109863736263733,3.3516219780219814,2.6922813186813244,5.439534065934055,4.230742857142857,3.9010725274725218,5.714259340659339,4.780193406593398,4.230742857142857,5.76920439560439,5.329643956043952,4.9450285714285656
cls_resnet_gallery_fusion,cls,burst_signal,Playground_spectrum,m10db,82.53703703703704,92.74074074074073,89.44444444444444,88.14814814814815,87.29629629629629,93.48148148148148,92.62962962962963,91.03703703703704,93.99999999999999,93.81481481481482,93.51851851851852,93.85185185185185,94.07407407407408,93.88888888888889,93.55555555555554,93.81481481481481,94.0,93.37037037037037,93.48148148148148,93.66666666666667,100.0,96.77777777777779,90.77777777777779,88.55555555555556,99.37037037037038,96.29629629629629,93.81481481481481,99.85185185185186,98.77777777777777,97.18518518518519,99.92592592592592,99.48148148148148,98.77777777777777,99.92592592592592,99.62962962962962,99.1111111111111,99.96296296296296,99.92592592592592,99.62962962962962,100.0,-17.462962962962962,-7.259259259259267,-10.555555555555557,-11.851851851851848,-12.70370370370371,-6.518518518518519,-7.370370370370367,-8.962962962962962,-6.000000000000014,-6.185185185185176,-6.481481481481481,-6.148148148148152,-5.925925925925924,-6.111111111111114,-6.444444444444457,-6.1851851851851904,-6.0,-6.629629629629633,-6.518518518518519,-6.333333333333329,0.0,-3.2222222222222143,-9.222222222222214,-11.444444444444443,-0.6296296296296191,-3.7037037037037095,-6.1851851851851904,-0.14814814814813815,-1.2222222222222285,-2.8148148148148096,-0.07407407407407618,-0.518518518518519,-1.2222222222222285,-0.07407407407407618,-0.3703703703703809,-0.8888888888888999,-0.03703703703703809,-0.07407407407407618,-0.3703703703703809
cls_resnet_gallery_fusion,cls,burst_signal,Playground_spectrum,m20db,79.51851851851852,87.96296296296295,85.77777777777779,84.48148148148148,83.40740740740742,88.44444444444444,88.29629629629629,87.37037037037037,89.66666666666666,89.14814814814814,89.0,89.5925925925926,89.74074074074075,89.4074074074074,89.33333333333334,89.62962962962962,89.74074074074075,89.07407407407408,89.22222222222221,89.29629629629629,99.1111111111111,93.33333333333333,87.55555555555556,85.55555555555556,97.29629629629629,93.22222222222223,91.07407407407408,98.48148148148148,96.4074074074074,94.88888888888889,98.92592592592592,97.51851851851852,96.4074074074074,99.03703703703704,98.00000000000001,97.37037037037037,99.07407407407408,98.59259259259258,98.00000000000001,99.1852,-19.666681481481476,-11.222237037037047,-13.407422222222209,-14.703718518518514,-15.777792592592576,-10.740755555555552,-10.888903703703704,-11.814829629629628,-9.518533333333338,-10.037051851851857,-10.185199999999995,-9.5926074074074,-9.444459259259247,-9.77779259259259,-9.851866666666652,-9.555570370370376,-9.444459259259247,-10.111125925925919,-9.96297777777778,-9.888903703703704,-0.07408888888889464,-5.851866666666666,-11.629644444444438,-13.629644444444438,-1.8889037037037042,-5.962977777777766,-8.111125925925919,-0.7037185185185137,-2.77779259259259,-4.296311111111109,-0.2592740740740709,-1.6666814814814757,-2.77779259259259,-0.1481629629629566,-1.1851999999999805,-1.814829629629628,-0.11112592592591852,-0.5926074074074137,-1.1851999999999805
cls_resnet_gallery_fusion,cls,burst_signal,Playground_spectrum,m30db,68.62571022727272,79.82954545454545,74.43181818181817,73.22443181818183,72.90482954545455,78.2315340909091,76.66903409090908,76.17187500000001,79.90056818181817,79.36789772727273,78.83522727272727,80.14914772727273,79.86505681818181,79.86505681818183,80.57528409090908,80.00710227272728,80.11363636363636,80.18465909090908,80.5752840909091,80.39772727272727,94.67329545454545,81.67613636363636,74.7159090909091,74.18323863636364,88.67187499999999,80.00710227272727,79.22585227272727,91.65482954545455,85.08522727272728,84.37499999999999,92.93323863636364,88.24573863636364,87.35795454545455,93.359375,89.70170454545455,89.06250000000001,93.96306818181819,91.51278409090908,91.05113636363636,86.9673,-18.341589772727275,-7.137754545454541,-12.535481818181822,-13.742868181818167,-14.062470454545448,-8.735765909090901,-10.298265909090915,-10.79542499999998,-7.066731818181822,-7.599402272727261,-8.132072727272728,-6.818152272727261,-7.1022431818181815,-7.102243181818167,-6.392015909090915,-6.960197727272714,-6.853663636363635,-6.782640909090915,-6.392015909090901,-6.569572727272728,7.705995454545459,-5.291163636363635,-12.251390909090901,-12.784061363636354,1.7045749999999913,-6.960197727272728,-7.741447727272728,4.687529545454552,-1.882072727272714,-2.5923000000000087,5.965938636363646,1.2784386363636457,0.39065454545455225,6.3920750000000055,2.7344045454545522,2.0952000000000197,6.9957681818181925,4.545484090909085,4.083836363636365
cls_resnet_gallery_fusion,cls,burst_signal,TimeSquare_spectrum,m10db,94.40860215053763,88.6021505376344,96.48745519713262,96.27240143369175,96.16487455197132,96.63082437275986,96.73835125448029,96.7741935483871,95.98566308243728,96.45161290322581,96.55913978494624,95.26881720430109,95.91397849462366,95.94982078853047,94.33691756272401,95.19713261648745,95.26881720430109,92.75985663082437,93.9784946236559,94.08602150537634,98.63799283154123,99.56989247311829,98.42293906810036,97.4551971326165,99.56989247311829,99.46236559139786,99.10394265232976,99.3189964157706,99.60573476702508,99.53405017921146,99.10394265232975,99.56989247311829,99.60573476702508,99.03225806451613,99.39068100358423,99.56989247311829,98.85304659498208,99.28315412186379,99.39068100358423,99.7133,-5.3046978494623716,-11.111149462365603,-3.2258448028673854,-3.440898566308249,-3.5484254480286808,-3.082475627240143,-2.9749487455197112,-2.9391064516129006,-3.7276369175627195,-3.261687096774196,-3.154160215053764,-4.444482795698917,-3.7993215053763407,-3.76347921146953,-5.376382437275993,-4.516167383512553,-4.444482795698917,-6.9534433691756306,-5.734805376344099,-5.627278494623667,-1.075307168458778,-0.14340752688171676,-1.2903609318996416,-2.2581028673834993,-0.14340752688171676,-0.25093440860214855,-0.6093573476702403,-0.39430358422940515,-0.10756523297492038,-0.17924982078854157,-0.6093573476702545,-0.14340752688171676,-0.10756523297492038,-0.6810419354838757,-0.32261899641576974,-0.14340752688171676,-0.8602534050179287,-0.43014587813621574,-0.32261899641576974
cls_resnet_gallery_fusion,cls,burst_signal,TimeSquare_spectrum,m20db,93.22222222222221,86.0,95.44444444444444,94.92592592592592,95.0,95.88888888888889,95.96296296296298,96.0,95.55555555555554,95.7037037037037,95.62962962962962,94.5925925925926,95.5925925925926,95.33333333333334,93.4074074074074,94.92592592592592,94.44444444444444,91.88888888888889,93.37037037037035,92.92592592592592,100.0,99.74074074074075,97.96296296296296,97.2962962962963,100.0,99.66666666666667,99.18518518518519,100.0,99.96296296296296,99.88888888888889,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.5185,-5.296277777777789,-12.518500000000003,-3.07405555555556,-3.5925740740740792,-3.518500000000003,-2.6296111111111173,-2.555537037037027,-2.518500000000003,-2.96294444444446,-2.814796296296308,-2.888870370370384,-3.925907407407408,-2.925907407407408,-3.1851666666666603,-5.111092592592598,-3.5925740740740792,-4.07405555555556,-6.629611111111117,-5.148129629629651,-5.592574074074079,1.481499999999997,1.2222407407407445,-0.5555370370370412,-1.2222037037036984,1.481499999999997,1.1481666666666683,0.6666851851851874,1.481499999999997,1.4444629629629588,1.3703888888888827,1.481499999999997,1.481499999999997,1.481499999999997,1.481499999999997,1.481499999999997,1.481499999999997,1.481499999999997,1.481499999999997,1.481499999999997
cls_resnet_gallery_fusion,cls,burst_signal,TimeSquare_spectrum,m30db,87.1111111111111,72.4074074074074,88.5185185185185,88.25925925925927,88.33333333333333,88.18518518518519,88.44444444444446,88.29629629629629,85.74074074074075,86.70370370370371,86.62962962962962,83.07407407407408,85.0,84.44444444444444,81.7037037037037,83.03703703703704,82.81481481481482,79.55555555555554,80.85185185185185,80.62962962962962,98.59259259259258,96.5925925925926,93.62962962962965,92.00000000000001,98.85185185185186,97.2962962962963,95.92592592592592,98.96296296296295,98.81481481481481,98.29629629629629,99.03703703703704,99.0,98.85185185185186,98.96296296296296,99.07407407407408,98.92592592592592,98.96296296296296,99.03703703703704,98.99999999999999,88.7407,-1.6295888888889039,-16.3332925925926,-0.22218148148149908,-0.4814407407407373,-0.4073666666666753,-0.5555148148148135,-0.29625555555554683,-0.4444037037037134,-2.9999592592592563,-2.0369962962962944,-2.111070370370385,-5.666625925925928,-3.740700000000004,-4.296255555555561,-7.036996296296309,-5.703662962962966,-5.92588518518518,-9.185144444444461,-7.888848148148156,-8.111070370370385,9.851892592592577,7.851892592592591,4.888929629629644,3.2593000000000103,10.111151851851858,8.5555962962963,7.18522592592592,10.222262962962944,10.074114814814806,9.555596296296287,10.296337037037034,10.259299999999996,10.111151851851858,10.222262962962958,10.333374074074072,10.18522592592592,10.222262962962958,10.296337037037034,10.259299999999982
cls_resnet_gallery_fusion,cls,burst_signal,Gymnasium_spectrum,m10db,87.921146953405,96.55913978494624,91.46953405017922,91.11111111111111,91.11111111111111,93.97849462365592,93.04659498207886,92.97491039426524,95.84229390681003,95.23297491039426,95.23297491039426,96.415770609319,95.91397849462365,95.91397849462365,96.63082437275985,96.415770609319,96.37992831541219,96.88172043010752,96.7741935483871,96.7741935483871,99.96415770609318,97.4910394265233,93.01075268817203,92.15053763440861,99.49820788530465,96.84587813620071,95.3763440860215,99.92831541218638,99.10394265232975,98.2078853046595,99.96415770609318,99.49820788530465,99.17562724014337,99.96415770609318,99.78494623655914,99.46236559139786,99.96415770609318,99.92831541218638,99.78494623655914,100.0,-12.078853046595,-3.4408602150537604,-8.53046594982078,-8.888888888888886,-8.888888888888886,-6.021505376344081,-6.953405017921142,-7.025089605734763,-4.157706093189972,-4.767025089605738,-4.767025089605738,-3.5842293906810028,-4.086021505376351,-4.086021505376351,-3.3691756272401534,-3.5842293906810028,-3.6200716845878134,-3.1182795698924792,-3.225806451612897,-3.225806451612897,-0.03584229390682481,-2.508960573476699,-6.989247311827967,-7.849462365591393,-0.5017921146953483,-3.15412186379929,-4.623655913978496,-0.07168458781362119,-0.8960573476702507,-1.7921146953405014,-0.03584229390682481,-0.5017921146953483,-0.8243727598566295,-0.03584229390682481,-0.21505376344086358,-0.5376344086021447,-0.03584229390682481,-0.07168458781362119,-0.21505376344086358
