method,task,dataset,scene,jsr,textual_only_p_roc,clip_gallery_only_p_roc,gate_clip_beta0.25_p_roc,resnet18_layer2_gallery_only_p_roc,gate_resnet18_layer2_beta0.25_p_roc,gate_resnet18_layer2_beta0.5_p_roc,gate_resnet18_layer2_beta1_p_roc,gate_resnet18_layer2_beta2_p_roc,resnet18_layer3_gallery_only_p_roc,gate_resnet18_layer3_beta0.25_p_roc,gate_resnet18_layer3_beta0.5_p_roc,gate_resnet18_layer3_beta1_p_roc,gate_resnet18_layer3_beta2_p_roc,formal_baseline_p_roc,delta_textual_only_p_roc_vs_formal,delta_clip_gallery_only_p_roc_vs_formal,delta_gate_clip_beta0.25_p_roc_vs_formal,delta_resnet18_layer2_gallery_only_p_roc_vs_formal,delta_gate_resnet18_layer2_beta0.25_p_roc_vs_formal,delta_gate_resnet18_layer2_beta0.5_p_roc_vs_formal,delta_gate_resnet18_layer2_beta1_p_roc_vs_formal,delta_gate_resnet18_layer2_beta2_p_roc_vs_formal,delta_resnet18_layer3_gallery_only_p_roc_vs_formal,delta_gate_resnet18_layer3_beta0.25_p_roc_vs_formal,delta_gate_resnet18_layer3_beta0.5_p_roc_vs_formal,delta_gate_resnet18_layer3_beta1_p_roc_vs_formal,delta_gate_resnet18_layer3_beta2_p_roc_vs_formal
seg_resnet_gallery_fusion,seg,burst_signal,WeaponMuseum_spectrum,m10db,97.27750281590586,98.66283861045684,98.28699542627733,97.50127442770436,98.2624704860841,98.04901622322166,97.09916126307758,95.76769938336682,98.46294883178918,98.77741559425438,98.78566235925005,98.69663734371044,98.57555750492527,98.7204,-1.4428971840941358,-0.05756138954315304,-0.43340457372266883,-1.2191255722956384,-0.4579295139159001,-0.6713837767783417,-1.6212387369224217,-2.95270061663318,-0.2574511682108209,0.05701559425438063,0.06526235925005608,-0.023762656289562756,-0.14484249507472668
seg_resnet_gallery_fusion,seg,burst_signal,WeaponMuseum_spectrum,m20db,96.82074435801651,98.2316344857105,98.32135491146067,96.9981633495788,98.14880399239092,98.11285392613478,97.37760163806006,96.24516364285995,98.48677744290052,98.74491273497061,98.80189444664548,98.727868898061,98.62067873921156,98.4263,-1.6055556419834858,-0.19466551428949685,-0.10494508853932416,-1.4281366504211945,-0.27749600760907356,-0.3134460738652223,-1.048698361939941,-2.1811363571400477,0.06047744290052037,0.31861273497061404,0.37559444664547925,0.3015688980610065,0.19437873921155813
seg_resnet_gallery_fusion,seg,burst_signal,WeaponMuseum_spectrum,m30db,93.97278310696686,95.15411517705317,97.44828968451506,94.55150440344093,97.00631722800956,97.09142307285508,96.19608096997221,94.8513731045648,97.94845059933468,98.2083833811743,98.38339136182756,98.33941103754557,98.23467793328705,95.9053,-1.9325168930331387,-0.7511848229468256,1.5429896845150637,-1.353795596559067,1.1010172280095674,1.1861230728550822,0.2907809699722179,-1.0539268954351968,2.0431505993346804,2.3030833811743037,2.478091361827566,2.434111037545577,2.3293779332870486
seg_resnet_gallery_fusion,seg,burst_signal,Playground_spectrum,m10db,96.5801682680699,98.95556214875263,98.30240401749289,97.69323293152776,98.31115130785236,98.08528687975853,97.24900006339374,96.1571504741546,98.77374201064674,98.8449099227892,98.91146843287588,98.87462885935993,98.79967883825333,98.9747,-2.394531731930101,-0.01913785124736478,-0.6722959825071086,-1.2814670684722387,-0.6635486921476428,-0.8894131202414712,-1.7256999366062615,-2.8175495258453935,-0.20095798935325604,-0.12979007721079938,-0.06323156712412015,-0.10007114064006828,-0.17502116174667037
seg_resnet_gallery_fusion,seg,burst_signal,Playground_spectrum,m20db,96.32589007076639,98.47442157833872,98.14405195619472,96.43310568249883,97.83027179928322,97.32159493205143,96.03396938719946,94.55946769865417,98.36060089027508,98.7341156848963,98.75791468328342,98.63013836789749,98.46529035783583,98.5201,-2.194209929233608,-0.04567842166127889,-0.3760480438052838,-2.0869943175011656,-0.6898282007167751,-1.1985050679485738,-2.4861306128005367,-3.960632301345825,-0.1594991097249192,0.21401568489629597,0.2378146832834176,0.11003836789748789,-0.054809642164173056
seg_resnet_gallery_fusion,seg,burst_signal,Playground_spectrum,m30db,91.02827405711098,95.67065130265372,97.12851614499874,94.33572023418695,95.82891708986008,95.69349080159164,94.45477143060512,92.96355327499916,97.59235248928,97.78983988925476,97.99134297549945,97.8368710702412,97.63989003789115,95.7544,-4.726125942889027,-0.08374869734628021,1.3741161449987374,-1.418679765813053,0.07451708986008043,-0.060909198408367615,-1.2996285693948835,-2.790846725000847,1.8379524892799992,2.0354398892547607,2.2369429754994457,2.0824710702411977,1.8854900378911452
seg_resnet_gallery_fusion,seg,burst_signal,TimeSquare_spectrum,m10db,98.1617684687595,98.97865837003101,98.66660795376761,98.33385312508157,98.72679777743366,98.56697543532151,98.01725255656241,97.14059868655647,98.70716240962916,98.99945045910454,98.9914605455239,98.91242590268988,98.78814197483217,99.0019,-0.8401315312405018,-0.02324162996899304,-0.3352920462323965,-0.6680468749184314,-0.2751022225663462,-0.4349245646784965,-0.9846474434375949,-1.8613013134435334,-0.29473759037084335,-0.0024495408954692266,-0.010439454476099286,-0.08947409731013067,-0.21375802516783438
seg_resnet_gallery_fusion,seg,burst_signal,TimeSquare_spectrum,m20db,98.55595239588261,98.95726654925129,98.90910212019577,97.61626635997784,98.78276753469717,98.51822014194427,97.79329332079716,96.7133411135012,98.65036761712531,99.04104402484552,98.97895770402518,98.83715573295795,98.65651725898691,99.0058,-0.44984760411738023,-0.04853345074870674,-0.09669787980422484,-1.389533640022151,-0.22303246530282195,-0.48757985805572446,-1.212506679202832,-2.2924588864987925,-0.3554323828746817,0.035244024845525246,-0.026842295974816466,-0.1686442670420405,-0.3492827410130843
seg_resnet_gallery_fusion,seg,burst_signal,TimeSquare_spectrum,m30db,96.70848208663647,97.41832462218598,98.22532030639996,95.03144873465601,98.23164926171765,98.03217666128667,97.0913062103353,95.60531618617019,98.67658254006923,98.59598341437372,98.58316128579678,98.41669483284751,98.20714078162574,97.8975,-1.1890179133635286,-0.4791753778140162,0.3278203063999712,-2.866051265343984,0.3341492617176556,0.13467666128667588,-0.8061937896646896,-2.2921838138298085,0.7790825400692398,0.698483414373726,0.6856612857967832,0.5191948328475178,0.3096407816257454
seg_resnet_gallery_fusion,seg,burst_signal,Gymnasium_spectrum,m10db,97.40872281138225,98.78950989487589,98.29692218915491,98.35309575792503,98.54344904346219,98.40712115545554,97.61738411934982,96.41949711396953,98.59357476834137,98.8335824864976,98.82234311030585,98.66149674625197,98.42461632965669,98.809,-1.4002771886177499,-0.019490105124106094,-0.512077810845085,-0.4559042420749648,-0.26555095653780825,-0.40187884454445566,-1.1916158806501755,-2.3895028860304706,-0.21542523165862804,0.024582486497607192,0.013343110305854111,-0.14750325374802742,-0.3843836703433112
