method,task,dataset,scene,jsr,num_normal,num_abnormal,promptad_rescore_auc,clip_gallery_top50_auc,resnet18_layer3_gallery_top0.1_auc,resnet18_layer3_dual_raw_clip0.5_resnet0.5_auc,resnet18_layer3_dual_raw_clip0.5_resnet1_auc,resnet18_layer3_dual_raw_clip0.5_resnet1.5_auc,resnet18_layer3_dual_raw_clip0.5_resnet2_auc,resnet18_layer3_dual_raw_clip1_resnet0.5_auc,resnet18_layer3_dual_raw_clip1_resnet1_auc,resnet18_layer3_dual_raw_clip1_resnet1.5_auc,resnet18_layer3_dual_raw_clip1_resnet2_auc,resnet18_layer3_dual_raw_clip1.5_resnet0.5_auc,resnet18_layer3_dual_raw_clip1.5_resnet1_auc,resnet18_layer3_dual_raw_clip1.5_resnet1.5_auc,resnet18_layer3_dual_raw_clip1.5_resnet2_auc,resnet18_layer3_dual_minmax_clip0.5_resnet0.5_auc,resnet18_layer3_dual_minmax_clip0.5_resnet1_auc,resnet18_layer3_dual_minmax_clip0.5_resnet1.5_auc,resnet18_layer3_dual_minmax_clip0.5_resnet2_auc,resnet18_layer3_dual_minmax_clip1_resnet0.5_auc,resnet18_layer3_dual_minmax_clip1_resnet1_auc,resnet18_layer3_dual_minmax_clip1_resnet1.5_auc,resnet18_layer3_dual_minmax_clip1_resnet2_auc,resnet18_layer3_dual_minmax_clip1.5_resnet0.5_auc,resnet18_layer3_dual_minmax_clip1.5_resnet1_auc,resnet18_layer3_dual_minmax_clip1.5_resnet1.5_auc,resnet18_layer3_dual_minmax_clip1.5_resnet2_auc,resnet18_layer3_dual_z_clip0.5_resnet0.5_auc,resnet18_layer3_dual_z_clip0.5_resnet1_auc,resnet18_layer3_dual_z_clip0.5_resnet1.5_auc,resnet18_layer3_dual_z_clip0.5_resnet2_auc,resnet18_layer3_dual_z_clip1_resnet0.5_auc,resnet18_layer3_dual_z_clip1_resnet1_auc,resnet18_layer3_dual_z_clip1_resnet1.5_auc,resnet18_layer3_dual_z_clip1_resnet2_auc,resnet18_layer3_dual_z_clip1.5_resnet0.5_auc,resnet18_layer3_dual_z_clip1.5_resnet1_auc,resnet18_layer3_dual_z_clip1.5_resnet1.5_auc,resnet18_layer3_dual_z_clip1.5_resnet2_auc
public_rf_cls_dual_gallery,cls,burst,RF_SPE_PNG_public,m30db,1360,442,40.813731,94.833977,71.181295,82.673509,78.762643,76.876081,75.741449,87.858497,83.789593,81.240185,79.530876,90.134582,86.613488,84.087204,82.239154,66.132553,67.575526,68.401151,68.970921,76.898623,76.612989,76.187616,75.724481,83.209010,82.246307,81.248669,80.345355,66.955184,68.265904,69.025652,69.505090,77.470555,77.013741,76.428001,75.898822,83.626896,82.431628,81.290757,80.267667
public_rf_cls_dual_gallery,cls,burst,RF_SPE_PNG_public,m40db,1360,442,47.561469,78.951707,53.710241,61.895379,58.988472,57.581348,56.775852,67.109895,63.217827,61.042388,59.665125,70.004658,66.107183,63.653846,61.989786,56.987457,55.952555,55.201125,54.710540,61.567408,60.079518,58.972668,58.198197,64.598250,63.040325,61.850130,60.964866,58.095555,56.687517,55.791522,55.345854,62.764506,61.030244,59.844623,59.032805,66.003127,64.232433,62.931195,61.946367
public_rf_cls_dual_gallery,cls,burst,RF_SPE_PNG_public,m50db,1360,442,51.079984,53.414792,40.138907,44.813515,43.112274,42.291306,41.813947,46.446467,44.570136,43.570169,42.893100,47.450592,45.603956,44.499351,43.772874,49.399621,47.328320,45.908637,44.877063,49.729339,48.023024,46.777515,45.852742,49.903347,48.453803,47.359595,46.527815,49.092694,47.006421,45.680729,44.781408,49.522891,47.923376,46.792820,45.950393,49.817840,48.526750,47.540757,46.775020
public_rf_cls_dual_gallery,cls,chirp,RF_SPE_PNG_public,m40db,1360,544,42.103631,95.834910,92.535548,93.959775,93.530358,93.275979,93.125000,94.848616,94.327963,93.965452,93.724319,95.222210,94.795631,94.430688,94.160089,75.400695,82.355915,85.286413,87.068826,82.733564,86.360970,88.169334,89.255785,87.295767,89.235781,90.243701,90.849508,76.190122,82.543117,85.354131,87.075314,84.184824,87.155061,88.710532,89.642761,88.814473,90.170442,90.911684,91.367863
public_rf_cls_dual_gallery,cls,chirp,RF_SPE_PNG_public,m50db,1360,544,51.737538,78.619431,61.424227,65.998189,64.234361,63.456896,63.021870,69.451098,66.752541,65.392315,64.580450,71.563108,68.641463,66.991377,65.934932,59.045604,59.540441,59.860646,60.118945,62.010029,62.095048,62.066393,62.065447,64.497594,64.254569,63.970183,63.725670,61.271626,61.432607,61.506542,61.576152,65.312500,64.839830,64.394734,64.092642,68.272329,67.444447,66.743215,66.147005
public_rf_cls_dual_gallery,cls,chirp,RF_SPE_PNG_public,m55db,1360,544,52.094237,53.630244,45.254785,47.719169,46.809513,46.396383,46.153222,48.792239,47.685851,47.107212,46.767477,49.510435,48.345183,47.677741,47.269410,51.104428,49.834694,48.843872,48.175957,51.133015,50.015679,49.205369,48.610916,51.151600,50.239917,49.520031,49.002217,50.372648,48.881650,48.055661,47.543388,50.570529,49.417847,48.689311,48.199340,50.822070,49.879163,49.207802,48.737430
public_rf_cls_dual_gallery,cls,dsss,RF_SPE_PNG_public,m30db,1360,306,59.312284,96.642037,99.912053,99.667436,99.813293,99.847895,99.863033,99.432190,99.705161,99.786140,99.824346,99.170992,99.579729,99.712370,99.771482,93.513072,97.915946,99.064062,99.361063,95.750913,98.311467,99.046280,99.301471,96.707757,98.329969,98.917724,99.193579,92.416859,96.885333,98.593570,99.137351,95.239331,97.701125,98.673827,99.055411,96.414120,97.880383,98.560409,98.900903
public_rf_cls_dual_gallery,cls,dsss,RF_SPE_PNG_public,m40db,1360,306,61.054522,87.198073,95.508458,94.343762,94.979095,95.166763,95.272251,93.400375,94.422818,94.804402,94.973328,92.694877,93.894896,94.425221,94.706603,82.550942,88.712274,91.651288,93.200692,84.719819,89.022972,91.480921,92.928441,85.816273,89.155854,91.272107,92.615100,83.929739,88.916282,91.553008,93.017349,85.890523,89.146002,91.230056,92.563197,86.613322,89.162822,90.933775,92.116494
public_rf_cls_dual_gallery,cls,dsss,RF_SPE_PNG_public,m50db,1360,306,57.166354,63.711313,67.075404,66.669670,66.933151,66.972318,67.001394,66.468786,66.744762,66.814927,66.881127,66.293613,66.626057,66.727220,66.785611,60.888360,62.870771,64.462707,65.535611,61.268262,63.101211,64.563629,65.545223,61.591936,63.326365,64.663110,65.501970,61.658256,63.898260,65.359717,66.081555,62.266917,64.171953,65.363082,65.971021,62.745819,64.343041,65.348424,65.905421
public_rf_cls_dual_gallery,cls,pulse,RF_SPE_PNG_public,m30db,1360,238,33.248115,89.503522,88.002194,89.173875,89.024963,88.820749,88.695934,89.986097,89.909787,89.692907,89.488075,90.178108,90.319451,90.164360,89.981772,69.659231,76.266065,79.819266,81.833292,78.488940,82.159849,83.865546,84.812160,83.289360,85.129758,85.990793,86.472442,72.992462,79.047825,81.849048,83.336320,81.245057,84.037939,85.230166,85.873393,84.995057,86.285220,86.855227,87.193216
