source,anomaly,dataset,scene,feature,m10db,m20db,m30db,m40db,mean
self_test_four_scene,Burst,burst_signal,WeaponMuseum,rgb,96.0600,91.6700,74.2800,N/A,87.3367
self_test_four_scene,Burst,burst_signal,Playground,rgb,100.0000,98.5300,87.6800,N/A,95.4033
self_test_four_scene,Burst,burst_signal,TimeSquare,rgb,98.9600,99.0800,85.5600,N/A,94.5333
self_test_four_scene,Burst,burst_signal,Gymnasium,rgb,91.4300,56.1900,56.3000,N/A,67.9733
self_test_four_scene,Chirp,chirp_signal,WeaponMuseum,rgb,96.3000,85.6800,46.2300,N/A,76.0700
self_test_four_scene,Chirp,chirp_signal,Playground,rgb,96.4900,92.4900,82.7300,N/A,90.5700
self_test_four_scene,Chirp,chirp_signal,TimeSquare,rgb,94.0700,93.8600,81.7100,N/A,89.8800
self_test_four_scene,Chirp,chirp_signal,Gymnasium,rgb,76.1600,74.2700,24.7800,N/A,58.4033
self_test_four_scene,DSSS,dsss_signal,WeaponMuseum,rgb,97.6800,92.8700,80.9700,N/A,90.5067
self_test_four_scene,DSSS,dsss_signal,Playground,rgb,96.5800,92.0500,79.1000,N/A,89.2433
self_test_four_scene,DSSS,dsss_signal,TimeSquare,rgb,98.8300,93.6100,84.0400,N/A,92.1600
self_test_four_scene,DSSS,dsss_signal,Gymnasium,rgb,92.4600,83.2800,83.2800,N/A,86.3400
self_test_four_scene,Wideband pulse,wideband_pulse,WeaponMuseum,rgb,N/A,100.0000,100.0000,83.4200,94.4733
self_test_four_scene,Wideband pulse,wideband_pulse,Playground,rgb,N/A,97.3100,92.9600,92.2800,94.1833
self_test_four_scene,Wideband pulse,wideband_pulse,TimeSquare,rgb,N/A,100.0000,100.0000,100.0000,100.0000
self_test_four_scene,Wideband pulse,wideband_pulse,Gymnasium,rgb,N/A,99.1800,100.0000,88.4500,95.8767
self_test_four_scene,Burst,ALL_SCENES,Mean,rgb,96.6125,86.3675,75.9550,N/A,86.3117
self_test_four_scene,Chirp,ALL_SCENES,Mean,rgb,90.7550,86.5750,58.8625,N/A,78.7308
self_test_four_scene,DSSS,ALL_SCENES,Mean,rgb,96.3875,90.4525,81.8475,N/A,89.5625
self_test_four_scene,Wideband pulse,ALL_SCENES,Mean,rgb,N/A,99.1225,98.2400,91.0375,96.1333
self_test_four_scene,ALL,ALL,Mean,rgb,94.5850,90.6294,78.7262,91.0375,87.6846
