source,anomaly,dataset,scene,feature,m10db,m20db,m30db,m40db,mean
self_test_four_scene,Burst,burst_signal,WeaponMuseum,optimized_spectral_gradient,93.89,92.61,85.94,,90.8133
self_test_four_scene,Burst,burst_signal,Playground,optimized_spectral_gradient,99.54,98.24,93.68,,97.1533
self_test_four_scene,Burst,burst_signal,TimeSquare,optimized_spectral_gradient,99.68,99.29,99.71,,99.56
self_test_four_scene,Burst,burst_signal,Gymnasium,optimized_spectral_gradient,95.2,59.74,55.52,,70.1533
self_test_four_scene,Chirp,chirp_signal,WeaponMuseum,optimized_spectral_gradient,97.59,87.88,68.83,,84.7667
self_test_four_scene,Chirp,chirp_signal,Playground,optimized_spectral_gradient,95.96,95.1,87.59,,92.8833
self_test_four_scene,Chirp,chirp_signal,TimeSquare,optimized_spectral_gradient,96.65,95.78,91.26,,94.5633
self_test_four_scene,Chirp,chirp_signal,Gymnasium,optimized_spectral_gradient,81.04,78.13,47.77,,68.98
self_test_four_scene,DSSS,dsss_signal,WeaponMuseum,selected,98.84,95.15,83.12,,92.37
self_test_four_scene,DSSS,dsss_signal,Playground,selected,100.0,98.58,95.41,,97.9967
self_test_four_scene,DSSS,dsss_signal,TimeSquare,selected,99.89,96.91,95.08,,97.2933
self_test_four_scene,DSSS,dsss_signal,Gymnasium,selected,96.78,87.62,87.62,,90.6733
self_test_four_scene,Wideband pulse,wideband_pulse,WeaponMuseum,selected,,100.0,100.0,83.42,94.4733
self_test_four_scene,Wideband pulse,wideband_pulse,Playground,selected,,97.31,92.96,92.28,94.1833
self_test_four_scene,Wideband pulse,wideband_pulse,TimeSquare,selected,,100.0,100.0,100.0,100.0
self_test_four_scene,Wideband pulse,wideband_pulse,Gymnasium,selected,,99.18,100.0,88.45,95.8767
self_test_four_scene,Burst,ALL_SCENES,Mean,optimized_spectral_gradient,97.0775,87.47,83.7125,,89.42
self_test_four_scene,Chirp,ALL_SCENES,Mean,optimized_spectral_gradient,92.81,89.2225,73.8625,,85.2983
self_test_four_scene,DSSS,ALL_SCENES,Mean,selected,98.8775,94.565,90.3075,,94.5833
self_test_four_scene,Wideband pulse,ALL_SCENES,Mean,selected,,99.1225,98.24,91.0375,96.1333
self_test_four_scene,ALL,ALL,Mean,selection_with_low_snr_fallback,96.255,92.595,86.5306,91.0375,91.3587
