shot,method,scope,n,num_normal,num_abnormal,auroc,auprc,fpr95
1,vit_patchcore,overall,7200,1800,5400,83.66612654320987,94.60835240246654,78.5
1,vit_patchcore,pulse,3600,1800,1800,89.38302469135803,91.80434647976192,64.88888888888889
1,vit_patchcore,single_tone,3600,1800,1800,93.8248148148148,95.22169855497722,44.388888888888886
1,vit_patchcore,wideband,3600,1800,1800,67.7905401234568,72.05845023460604,89.61111111111111
1,vit_patchcore,macro_attack,7200,1800,5400,83.66612654320987,86.36149842311505,66.29629629629629
1,cnn_layer3_top0.1,overall,7200,1800,5400,75.11623456790123,91.00489919462814,84.55555555555556
1,cnn_layer3_top0.1,pulse,3600,1800,1800,78.55430555555556,82.63433444260747,82.16666666666667
1,cnn_layer3_top0.1,single_tone,3600,1800,1800,84.47226851851852,87.31725025506363,69.83333333333334
1,cnn_layer3_top0.1,wideband,3600,1800,1800,62.32212962962962,65.72786723526718,91.11111111111111
1,cnn_layer3_top0.1,macro_attack,7200,1800,5400,75.11623456790123,78.55981731097943,81.03703703703704
1,confidence_gated_dual_visual,overall,7200,1800,5400,83.71138374485597,94.62440819017517,78.5
1,confidence_gated_dual_visual,pulse,3600,1800,1800,89.43652777777777,91.83462182047171,64.55555555555556
1,confidence_gated_dual_visual,single_tone,3600,1800,1800,93.86462962962963,95.25061933979165,44.5
1,confidence_gated_dual_visual,wideband,3600,1800,1800,67.8329938271605,72.11103441199661,90.0
1,confidence_gated_dual_visual,macro_attack,7200,1800,5400,83.71138374485597,86.39875852408666,66.35185185185185
2,vit_patchcore,overall,7200,1800,5400,84.29364197530865,94.70132156018511,74.22222222222223
2,vit_patchcore,pulse,3600,1800,1800,89.51074074074073,91.41526547251996,58.111111111111114
2,vit_patchcore,single_tone,3600,1800,1800,93.31685185185185,94.54301823153163,41.61111111111111
2,vit_patchcore,wideband,3600,1800,1800,70.05333333333333,73.78582743168693,89.0
2,vit_patchcore,macro_attack,7200,1800,5400,84.29364197530863,86.5813703785795,62.90740740740741
2,cnn_layer3_top0.1,overall,7200,1800,5400,79.3988940329218,92.70377162293173,79.05555555555556
2,cnn_layer3_top0.1,pulse,3600,1800,1800,81.71540123456789,85.26489531861769,76.77777777777777
2,cnn_layer3_top0.1,single_tone,3600,1800,1800,88.11611111111111,90.22608306460837,61.72222222222222
2,cnn_layer3_top0.1,wideband,3600,1800,1800,68.36516975308642,71.27377663788343,85.27777777777777
2,cnn_layer3_top0.1,macro_attack,7200,1800,5400,79.39889403292182,82.25491834036983,74.5925925925926
2,confidence_gated_dual_visual,overall,7200,1800,5400,84.48411522633745,94.75808096986572,73.22222222222223
2,confidence_gated_dual_visual,pulse,3600,1800,1800,89.6445524691358,91.48186322135284,57.388888888888886
2,confidence_gated_dual_visual,single_tone,3600,1800,1800,93.48966049382716,94.64437843698936,40.55555555555556
2,confidence_gated_dual_visual,wideband,3600,1800,1800,70.31813271604939,73.95172643886974,88.72222222222223
2,confidence_gated_dual_visual,macro_attack,7200,1800,5400,84.48411522633745,86.69265603240399,62.22222222222223
4,vit_patchcore,overall,7200,1800,5400,84.46879115226338,94.64915888296463,70.33333333333334
4,vit_patchcore,pulse,3600,1800,1800,89.32317901234568,90.97983618395288,58.77777777777777
4,vit_patchcore,single_tone,3600,1800,1800,92.68868827160493,93.86318963964831,44.166666666666664
4,vit_patchcore,wideband,3600,1800,1800,71.39450617283951,74.37519149453848,85.05555555555556
4,vit_patchcore,macro_attack,7200,1800,5400,84.46879115226336,86.40607243937988,62.666666666666664
4,cnn_layer3_top0.1,overall,7200,1800,5400,83.26731481481482,94.09215136598552,69.27777777777779
4,cnn_layer3_top0.1,pulse,3600,1800,1800,85.18254629629631,87.74553896432157,66.83333333333333
4,cnn_layer3_top0.1,single_tone,3600,1800,1800,91.0887037037037,92.50654424110233,48.833333333333336
4,cnn_layer3_top0.1,wideband,3600,1800,1800,73.53069444444445,75.40124171084409,77.16666666666666
4,cnn_layer3_top0.1,macro_attack,7200,1800,5400,83.26731481481482,85.21777497208933,64.27777777777777
4,confidence_gated_dual_visual,overall,7200,1800,5400,84.80250514403292,94.74798511036077,68.83333333333333
4,confidence_gated_dual_visual,pulse,3600,1800,1800,89.54858024691359,91.09891796595069,57.49999999999999
4,confidence_gated_dual_visual,single_tone,3600,1800,1800,92.9487037037037,94.02576111518246,40.27777777777778
4,confidence_gated_dual_visual,wideband,3600,1800,1800,71.91023148148147,74.66964692663798,83.44444444444444
4,confidence_gated_dual_visual,macro_attack,7200,1800,5400,84.80250514403292,86.59810866925704,60.40740740740741
