method,task,dataset,scene,jsr,patch_layer,coreset_ratio,freq_window,nn_topk,nn_agg,coreset_method,rowwise_coreset,memory_mode,freq_zscore,row_proto_zscore,position_soft_axis,position_soft_weight,coherence_alpha,coherence_top_ratio,text_auc,vit_patchcore_max_auc,harmonic_text_vit_patchcore_max_auc,vit_patchcore_top0p01_auc,harmonic_text_vit_patchcore_top0p01_auc,vit_patchcore_top0p05_auc,harmonic_text_vit_patchcore_top0p05_auc,vit_patchcore_top0p1_auc,harmonic_text_vit_patchcore_top0p1_auc
vit_patchcore_gallery_cls,cls,burst_signal,WeaponMuseum_spectrum,m10db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,82.84508440913605,96.89672293942402,96.87189672293943,96.77259185700099,96.77259185700099,96.02780536246277,96.05263157894737,94.28997020854023,94.31479642502481
vit_patchcore_gallery_cls,cls,burst_signal,WeaponMuseum_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,83.25471698113208,97.93942403177755,97.96425024826216,97.36842105263158,97.39324726911619,95.58093346573982,95.60575968222443,92.77557100297915,92.85004965243296
vit_patchcore_gallery_cls,cls,burst_signal,WeaponMuseum_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,76.00546176762663,90.31777557100298,90.34260178748758,90.54121151936445,90.59086395233366,90.93843098311817,91.06256206554121,86.8669314796425,87.06554121151937
vit_patchcore_gallery_cls,cls,chirp_signal,WeaponMuseum_spectrum,m10db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,94.19978517722879,99.78517722878625,99.78517722878625,98.92588614393127,98.92588614393127,96.90655209452201,96.99248120300751,95.08055853920516,95.14500537056928
vit_patchcore_gallery_cls,cls,chirp_signal,WeaponMuseum_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,85.25195024246257,98.9247311827957,98.90364748049758,98.4819734345351,98.50305713683323,96.7741935483871,96.79527725068522,95.55133881509593,95.59350621969219
vit_patchcore_gallery_cls,cls,chirp_signal,WeaponMuseum_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,85.22702347005922,97.148497477517,97.19236674709366,96.73173941653872,96.75367405132704,92.47642026760255,92.56415880675587,90.61197631059443,90.89712656284273
vit_patchcore_gallery_cls,cls,dsss_signal,WeaponMuseum_spectrum,m10db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,88.69997926601701,93.90420899854863,93.88347501555047,94.46402653949824,94.3810906075057,96.2678830603359,96.24714907733775,96.99357246527059,97.03504043126685
vit_patchcore_gallery_cls,cls,dsss_signal,WeaponMuseum_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,90.58677171884719,95.14824797843666,95.33485382541986,95.2933858594236,95.52145967240307,97.34605017623885,97.47045407422765,97.90586771718847,97.94733568318475
vit_patchcore_gallery_cls,cls,dsss_signal,WeaponMuseum_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,78.46775865643791,92.20402239270165,92.26622434169603,92.1210864607091,92.16255442670536,96.08127721335269,96.10201119635082,96.22641509433963,96.22641509433963
vit_patchcore_gallery_cls,cls,pulse_signal,WeaponMuseum_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,85.609243697479,100.0,100.0,100.0,100.0,100.0,100.0,98.73949579831933,98.83286647992531
vit_patchcore_gallery_cls,cls,pulse_signal,WeaponMuseum_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,81.36363636363635,98.31818181818181,98.31818181818181,98.63636363636363,98.63636363636363,95.88636363636363,95.95454545454545,91.52272727272728,91.61363636363637
vit_patchcore_gallery_cls,cls,pulse_signal,WeaponMuseum_spectrum,m40db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,65.75,72.20454545454545,72.5909090909091,70.88636363636364,71.22727272727273,63.45454545454545,63.95454545454544,60.090909090909086,60.68181818181817
vit_patchcore_gallery_cls,cls,deceptive_signal,WeaponMuseum_spectrum,strong,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,89.43236714975846,75.2415458937198,75.96618357487922,76.69082125603866,76.81159420289855,79.58937198067633,80.19323671497585,78.98550724637681,79.34782608695652
vit_patchcore_gallery_cls,cls,deceptive_signal,WeaponMuseum_spectrum,medium,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,89.97584541062803,68.59903381642512,69.08212560386472,71.01449275362319,71.4975845410628,76.20772946859904,76.93236714975846,74.63768115942028,75.2415458937198
vit_patchcore_gallery_cls,cls,deceptive_signal,WeaponMuseum_spectrum,weak,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,89.1304347826087,59.78260869565217,61.111111111111114,63.647342995169076,64.25120772946859,69.08212560386472,69.68599033816425,70.65217391304348,71.4975845410628
vit_patchcore_gallery_cls,cls,burst_signal,Playground_spectrum,m10db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,80.20399047051816,100.0,100.0,100.0,100.0,99.82132221560452,99.8511018463371,99.434187016081,99.46396664681359
vit_patchcore_gallery_cls,cls,burst_signal,Playground_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,73.32489577129243,100.0,100.0,100.0,100.0,99.79154258487195,99.79154258487195,99.31506849315068,99.35973793924956
vit_patchcore_gallery_cls,cls,burst_signal,Playground_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,66.50704225352112,95.3380281690141,95.3943661971831,95.87323943661971,95.92957746478874,95.09859154929576,95.15492957746478,93.77464788732395,93.88732394366197
vit_patchcore_gallery_cls,cls,chirp_signal,Playground_spectrum,m10db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,93.76969537815127,100.0,100.0,100.0,100.0,99.36974789915965,99.43539915966386,98.765756302521,98.85766806722688
vit_patchcore_gallery_cls,cls,chirp_signal,Playground_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,88.17708333333333,99.94212962962963,99.94212962962963,99.67592592592592,99.67592592592592,98.51851851851852,98.54166666666666,97.61574074074075,97.84722222222223
vit_patchcore_gallery_cls,cls,chirp_signal,Playground_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,75.63231850117096,96.92037470725995,97.0023419203747,96.82669789227167,96.86182669789227,95.01170960187353,95.12880562060889,93.66510538641685,93.86416861826697
vit_patchcore_gallery_cls,cls,dsss_signal,Playground_spectrum,m10db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,74.15203984819733,93.90417457305503,93.79743833017078,94.63946869070207,94.5920303605313,96.1219165085389,96.1100569259962,96.67931688804555,96.5251423149905
vit_patchcore_gallery_cls,cls,dsss_signal,Playground_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,87.36954459203037,94.1888045540797,94.2006641366224,94.80550284629982,94.90037950664136,96.43026565464896,96.41840607210627,96.75047438330171,96.72675521821633
vit_patchcore_gallery_cls,cls,dsss_signal,Playground_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,76.15037950664136,92.6589184060721,92.80123339658444,93.56024667931689,93.63140417457305,96.22865275142316,96.25237191650855,96.54886148007591,96.63187855787476
vit_patchcore_gallery_cls,cls,pulse_signal,Playground_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,74.40025252525253,100.0,100.0,100.0,100.0,99.86111111111111,99.92424242424242,98.85101010101009,99.10353535353535
vit_patchcore_gallery_cls,cls,pulse_signal,Playground_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,66.16030092592592,99.89872685185185,99.88425925925927,99.95659722222223,99.97106481481481,99.39236111111111,99.37789351851852,98.6255787037037,98.61111111111111
vit_patchcore_gallery_cls,cls,pulse_signal,Playground_spectrum,m40db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,51.060118089103604,90.09661835748793,90.16371443907676,91.6532474503489,91.70692431561996,86.29898013955984,86.19162640901772,80.35426731078904,80.34084809447128
vit_patchcore_gallery_cls,cls,deceptive_signal,Playground_spectrum,strong,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,35.58238636363636,63.74289772727272,63.529829545454554,66.796875,66.2997159090909,80.39772727272727,80.29119318181819,85.51136363636363,85.12073863636364
vit_patchcore_gallery_cls,cls,deceptive_signal,Playground_spectrum,medium,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,31.658380681818176,52.30823863636363,51.88210227272727,53.97727272727273,53.76420454545454,65.37642045454545,64.84375,71.2002840909091,70.34801136363636
