dataset,scene,noise,baseline_rgb,spectral_gradient_v2,delta_vs_rgb
burst_signal,WeaponMuseum_spectrum,m10db,96.06,93.89,-2.17
burst_signal,WeaponMuseum_spectrum,m20db,91.67,92.61,0.94
burst_signal,WeaponMuseum_spectrum,m30db,74.28,85.94,11.66
burst_signal,Playground_spectrum,m10db,100.0,99.54,-0.46
burst_signal,Playground_spectrum,m20db,98.53,98.24,-0.29
burst_signal,Playground_spectrum,m30db,87.68,93.68,6.0
burst_signal,TimeSquare_spectrum,m10db,98.96,99.68,0.72
burst_signal,TimeSquare_spectrum,m20db,99.08,99.29,0.21
burst_signal,TimeSquare_spectrum,m30db,85.56,99.71,14.15
burst_signal,Gymnasium_spectrum,m10db,91.43,95.2,3.77
burst_signal,Gymnasium_spectrum,m20db,56.19,59.74,3.55
burst_signal,Gymnasium_spectrum,m30db,56.3,55.52,-0.78
chirp_signal,WeaponMuseum_spectrum,m10db,96.3,97.59,1.29
chirp_signal,WeaponMuseum_spectrum,m20db,85.68,87.88,2.2
chirp_signal,WeaponMuseum_spectrum,m30db,46.23,68.83,22.6
chirp_signal,Playground_spectrum,m10db,96.49,95.96,-0.53
chirp_signal,Playground_spectrum,m20db,92.49,95.1,2.61
chirp_signal,Playground_spectrum,m30db,82.73,87.59,4.86
chirp_signal,TimeSquare_spectrum,m10db,94.07,96.65,2.58
chirp_signal,TimeSquare_spectrum,m20db,93.86,95.78,1.92
chirp_signal,TimeSquare_spectrum,m30db,81.71,91.26,9.55
chirp_signal,Gymnasium_spectrum,m10db,76.16,81.04,4.88
chirp_signal,Gymnasium_spectrum,m20db,74.27,78.13,3.86
chirp_signal,Gymnasium_spectrum,m30db,24.78,47.77,22.99
