anomaly,noise_level,original_promptad_legacy_rgb,current_rf_gray_residual_a01,delta_current_vs_original
burst,m30db,94.87,96.88,2.01
burst,m40db,84.29,88.47,4.18
burst,m50db,62.39,65.29,2.90
chirp,m50db,90.11,94.16,4.05
chirp,m55db,66.14,71.75,5.61
chirp,m60db,54.18,55.55,1.37
dsss,m20db,96.83,94.99,-1.84
dsss,m30db,85.80,84.40,-1.40
dsss,m40db,69.78,71.88,2.10
burst_mean,all,80.52,83.55,3.03
chirp_mean,all,70.14,73.82,3.68
dsss_mean,all,84.14,83.76,-0.38
overall_mean,all,78.27,80.37,2.11
