source,anomaly,dataset,scene,baseline_feature,improved_feature,m10db,m20db,m30db,m40db,mean
self_test_four_scene,Burst,burst_signal,WeaponMuseum,rgb,optimized_spectral_gradient,-2.17,0.94,11.66,,3.4766
self_test_four_scene,Burst,burst_signal,Playground,rgb,optimized_spectral_gradient,-0.46,-0.29,6.0,,1.75
self_test_four_scene,Burst,burst_signal,TimeSquare,rgb,optimized_spectral_gradient,0.72,0.21,14.15,,5.0267
self_test_four_scene,Burst,burst_signal,Gymnasium,rgb,optimized_spectral_gradient,3.77,3.55,-0.78,,2.18
self_test_four_scene,Chirp,chirp_signal,WeaponMuseum,rgb,optimized_spectral_gradient,1.29,2.2,22.6,,8.6967
self_test_four_scene,Chirp,chirp_signal,Playground,rgb,optimized_spectral_gradient,-0.53,2.61,4.86,,2.3133
self_test_four_scene,Chirp,chirp_signal,TimeSquare,rgb,optimized_spectral_gradient,2.58,1.92,9.55,,4.6833
self_test_four_scene,Chirp,chirp_signal,Gymnasium,rgb,optimized_spectral_gradient,4.88,3.86,22.99,,10.5767
self_test_four_scene,DSSS,dsss_signal,WeaponMuseum,rgb,selected,1.16,2.28,2.15,,1.8633
self_test_four_scene,DSSS,dsss_signal,Playground,rgb,selected,3.42,6.53,16.31,,8.7534
self_test_four_scene,DSSS,dsss_signal,TimeSquare,rgb,selected,1.06,3.3,11.04,,5.1333
self_test_four_scene,DSSS,dsss_signal,Gymnasium,rgb,selected,4.32,4.34,4.34,,4.3333
self_test_four_scene,Wideband pulse,wideband_pulse,WeaponMuseum,rgb,selected,,0.0,0.0,0.0,0.0
self_test_four_scene,Wideband pulse,wideband_pulse,Playground,rgb,selected,,0.0,0.0,0.0,0.0
self_test_four_scene,Wideband pulse,wideband_pulse,TimeSquare,rgb,selected,,0.0,0.0,0.0,0.0
self_test_four_scene,Wideband pulse,wideband_pulse,Gymnasium,rgb,selected,,0.0,0.0,0.0,0.0
self_test_four_scene,Burst,ALL_SCENES,Mean,rgb,optimized_spectral_gradient,0.465,1.1025,7.7575,,3.1083
self_test_four_scene,Chirp,ALL_SCENES,Mean,rgb,optimized_spectral_gradient,2.055,2.6475,15.0,,6.5675
self_test_four_scene,DSSS,ALL_SCENES,Mean,rgb,selected,2.49,4.1125,8.46,,5.0208
self_test_four_scene,Wideband pulse,ALL_SCENES,Mean,rgb,selected,,0.0,0.0,0.0,0.0
self_test_four_scene,ALL,ALL,Mean,rgb,selection_with_low_snr_fallback,1.67,1.9656,7.8044,0.0,3.6741
