group,label,dataset,scene,noise,prompt,input,Image-AUROC
A,Original PromptAD,burst_signal,WeaponMuseum_spectrum,m10db,legacy,rgb,96.44
D,Ours-full,burst_signal,WeaponMuseum_spectrum,m10db,rf,morph_fusion_gray_residual_a01,94.28
A,Original PromptAD,burst_signal,WeaponMuseum_spectrum,m20db,legacy,rgb,92.44
D,Ours-full,burst_signal,WeaponMuseum_spectrum,m20db,rf,morph_fusion_gray_residual_a01,91.67
A,Original PromptAD,burst_signal,WeaponMuseum_spectrum,m30db,legacy,rgb,73.17
D,Ours-full,burst_signal,WeaponMuseum_spectrum,m30db,rf,morph_fusion_gray_residual_a01,84.44
A,Original PromptAD,burst_signal,Playground_spectrum,m10db,legacy,rgb,100.0
D,Ours-full,burst_signal,Playground_spectrum,m10db,rf,morph_fusion_gray_residual_a01,99.5
A,Original PromptAD,burst_signal,Playground_spectrum,m20db,legacy,rgb,98.46
D,Ours-full,burst_signal,Playground_spectrum,m20db,rf,morph_fusion_gray_residual_a01,98.57
A,Original PromptAD,burst_signal,Playground_spectrum,m30db,legacy,rgb,87.46
D,Ours-full,burst_signal,Playground_spectrum,m30db,rf,morph_fusion_gray_residual_a01,94.5
A,Original PromptAD,burst_signal,TimeSquare_spectrum,m10db,legacy,rgb,99.0
D,Ours-full,burst_signal,TimeSquare_spectrum,m10db,rf,morph_fusion_gray_residual_a01,99.93
A,Original PromptAD,burst_signal,TimeSquare_spectrum,m20db,legacy,rgb,99.04
D,Ours-full,burst_signal,TimeSquare_spectrum,m20db,rf,morph_fusion_gray_residual_a01,99.04
A,Original PromptAD,burst_signal,TimeSquare_spectrum,m30db,legacy,rgb,85.56
D,Ours-full,burst_signal,TimeSquare_spectrum,m30db,rf,morph_fusion_gray_residual_a01,99.89
A,Original PromptAD,burst_signal,Gymnasium_spectrum,m10db,legacy,rgb,92.4
D,Ours-full,burst_signal,Gymnasium_spectrum,m10db,rf,morph_fusion_gray_residual_a01,97.53
A,Original PromptAD,burst_signal,Gymnasium_spectrum,m20db,legacy,rgb,59.11
D,Ours-full,burst_signal,Gymnasium_spectrum,m20db,rf,morph_fusion_gray_residual_a01,64.07
A,Original PromptAD,burst_signal,Gymnasium_spectrum,m30db,legacy,rgb,59.11
D,Ours-full,burst_signal,Gymnasium_spectrum,m30db,rf,morph_fusion_gray_residual_a01,57.44
A,Original PromptAD,chirp_signal,WeaponMuseum_spectrum,m10db,legacy,rgb,96.48
D,Ours-full,chirp_signal,WeaponMuseum_spectrum,m10db,rf,morph_fusion_gray_residual_a01,97.47
A,Original PromptAD,chirp_signal,WeaponMuseum_spectrum,m20db,legacy,rgb,86.15
D,Ours-full,chirp_signal,WeaponMuseum_spectrum,m20db,rf,morph_fusion_gray_residual_a01,89.62
A,Original PromptAD,chirp_signal,WeaponMuseum_spectrum,m30db,legacy,rgb,46.21
D,Ours-full,chirp_signal,WeaponMuseum_spectrum,m30db,rf,morph_fusion_gray_residual_a01,72.73
A,Original PromptAD,chirp_signal,Playground_spectrum,m10db,legacy,rgb,96.2
D,Ours-full,chirp_signal,Playground_spectrum,m10db,rf,morph_fusion_gray_residual_a01,96.28
A,Original PromptAD,chirp_signal,Playground_spectrum,m20db,legacy,rgb,92.2
D,Ours-full,chirp_signal,Playground_spectrum,m20db,rf,morph_fusion_gray_residual_a01,95.43
A,Original PromptAD,chirp_signal,Playground_spectrum,m30db,legacy,rgb,82.69
D,Ours-full,chirp_signal,Playground_spectrum,m30db,rf,morph_fusion_gray_residual_a01,91.07
A,Original PromptAD,chirp_signal,TimeSquare_spectrum,m10db,legacy,rgb,95.01
D,Ours-full,chirp_signal,TimeSquare_spectrum,m10db,rf,morph_fusion_gray_residual_a01,96.86
A,Original PromptAD,chirp_signal,TimeSquare_spectrum,m20db,legacy,rgb,93.63
D,Ours-full,chirp_signal,TimeSquare_spectrum,m20db,rf,morph_fusion_gray_residual_a01,96.33
A,Original PromptAD,chirp_signal,TimeSquare_spectrum,m30db,legacy,rgb,81.69
D,Ours-full,chirp_signal,TimeSquare_spectrum,m30db,rf,morph_fusion_gray_residual_a01,91.71
A,Original PromptAD,chirp_signal,Gymnasium_spectrum,m10db,legacy,rgb,76.34
D,Ours-full,chirp_signal,Gymnasium_spectrum,m10db,rf,morph_fusion_gray_residual_a01,84.05
A,Original PromptAD,chirp_signal,Gymnasium_spectrum,m20db,legacy,rgb,74.59
D,Ours-full,chirp_signal,Gymnasium_spectrum,m20db,rf,morph_fusion_gray_residual_a01,72.86
A,Original PromptAD,chirp_signal,Gymnasium_spectrum,m30db,legacy,rgb,26.19
D,Ours-full,chirp_signal,Gymnasium_spectrum,m30db,rf,morph_fusion_gray_residual_a01,35.26
A,Original PromptAD,dsss_signal,WeaponMuseum_spectrum,m10db,legacy,rgb,98.45
D,Ours-full,dsss_signal,WeaponMuseum_spectrum,m10db,rf,morph_fusion_gray_residual_a01,99.79
A,Original PromptAD,dsss_signal,WeaponMuseum_spectrum,m20db,legacy,rgb,96.35
D,Ours-full,dsss_signal,WeaponMuseum_spectrum,m20db,rf,morph_fusion_gray_residual_a01,96.99
A,Original PromptAD,dsss_signal,WeaponMuseum_spectrum,m30db,legacy,rgb,86.43
D,Ours-full,dsss_signal,WeaponMuseum_spectrum,m30db,rf,morph_fusion_gray_residual_a01,86.13
A,Original PromptAD,dsss_signal,Playground_spectrum,m10db,legacy,rgb,98.77
D,Ours-full,dsss_signal,Playground_spectrum,m10db,rf,morph_fusion_gray_residual_a01,99.84
A,Original PromptAD,dsss_signal,Playground_spectrum,m20db,legacy,rgb,96.26
D,Ours-full,dsss_signal,Playground_spectrum,m20db,rf,morph_fusion_gray_residual_a01,97.6
A,Original PromptAD,dsss_signal,Playground_spectrum,m30db,legacy,rgb,92.51
D,Ours-full,dsss_signal,Playground_spectrum,m30db,rf,morph_fusion_gray_residual_a01,94.1
A,Original PromptAD,dsss_signal,TimeSquare_spectrum,m10db,legacy,rgb,99.37
D,Ours-full,dsss_signal,TimeSquare_spectrum,m10db,rf,morph_fusion_gray_residual_a01,99.84
A,Original PromptAD,dsss_signal,TimeSquare_spectrum,m20db,legacy,rgb,98.96
D,Ours-full,dsss_signal,TimeSquare_spectrum,m20db,rf,morph_fusion_gray_residual_a01,97.19
A,Original PromptAD,dsss_signal,TimeSquare_spectrum,m30db,legacy,rgb,98.93
D,Ours-full,dsss_signal,TimeSquare_spectrum,m30db,rf,morph_fusion_gray_residual_a01,95.11
A,Original PromptAD,dsss_signal,Gymnasium_spectrum,m10db,legacy,rgb,99.32
D,Ours-full,dsss_signal,Gymnasium_spectrum,m10db,rf,morph_fusion_gray_residual_a01,99.73
A,Original PromptAD,dsss_signal,Gymnasium_spectrum,m20db,legacy,rgb,96.8
D,Ours-full,dsss_signal,Gymnasium_spectrum,m20db,rf,morph_fusion_gray_residual_a01,97.84
A,Original PromptAD,dsss_signal,Gymnasium_spectrum,m30db,legacy,rgb,95.52
D,Ours-full,dsss_signal,Gymnasium_spectrum,m30db,rf,morph_fusion_gray_residual_a01,95.77
