group,label,dataset,scene,noise,prompt,input,Image-AUROC
B,RF PromptAD,burst_signal,WeaponMuseum_spectrum,m10db,rf,rgb,96.06
C,Input-enhanced PromptAD,burst_signal,WeaponMuseum_spectrum,m10db,legacy,morph_fusion_gray_residual_a01,94.78
B,RF PromptAD,burst_signal,WeaponMuseum_spectrum,m20db,rf,rgb,91.61
C,Input-enhanced PromptAD,burst_signal,WeaponMuseum_spectrum,m20db,legacy,morph_fusion_gray_residual_a01,91.83
B,RF PromptAD,burst_signal,WeaponMuseum_spectrum,m30db,rf,rgb,74.28
C,Input-enhanced PromptAD,burst_signal,WeaponMuseum_spectrum,m30db,legacy,morph_fusion_gray_residual_a01,83.89
B,RF PromptAD,burst_signal,Playground_spectrum,m10db,rf,rgb,100.0
C,Input-enhanced PromptAD,burst_signal,Playground_spectrum,m10db,legacy,morph_fusion_gray_residual_a01,99.54
B,RF PromptAD,burst_signal,Playground_spectrum,m20db,rf,rgb,98.53
C,Input-enhanced PromptAD,burst_signal,Playground_spectrum,m20db,legacy,morph_fusion_gray_residual_a01,98.49
B,RF PromptAD,burst_signal,Playground_spectrum,m30db,rf,rgb,87.71
C,Input-enhanced PromptAD,burst_signal,Playground_spectrum,m30db,legacy,morph_fusion_gray_residual_a01,94.53
B,RF PromptAD,burst_signal,TimeSquare_spectrum,m10db,rf,rgb,99.0
C,Input-enhanced PromptAD,burst_signal,TimeSquare_spectrum,m10db,legacy,morph_fusion_gray_residual_a01,99.93
B,RF PromptAD,burst_signal,TimeSquare_spectrum,m20db,rf,rgb,99.04
C,Input-enhanced PromptAD,burst_signal,TimeSquare_spectrum,m20db,legacy,morph_fusion_gray_residual_a01,98.83
B,RF PromptAD,burst_signal,TimeSquare_spectrum,m30db,rf,rgb,85.77
C,Input-enhanced PromptAD,burst_signal,TimeSquare_spectrum,m30db,legacy,morph_fusion_gray_residual_a01,99.89
B,RF PromptAD,burst_signal,Gymnasium_spectrum,m10db,rf,rgb,91.36
C,Input-enhanced PromptAD,burst_signal,Gymnasium_spectrum,m10db,legacy,morph_fusion_gray_residual_a01,95.77
B,RF PromptAD,burst_signal,Gymnasium_spectrum,m20db,rf,rgb,56.3
C,Input-enhanced PromptAD,burst_signal,Gymnasium_spectrum,m20db,legacy,morph_fusion_gray_residual_a01,64.74
B,RF PromptAD,burst_signal,Gymnasium_spectrum,m30db,rf,rgb,56.52
C,Input-enhanced PromptAD,burst_signal,Gymnasium_spectrum,m30db,legacy,morph_fusion_gray_residual_a01,58.26
B,RF PromptAD,chirp_signal,WeaponMuseum_spectrum,m10db,rf,rgb,96.3
C,Input-enhanced PromptAD,chirp_signal,WeaponMuseum_spectrum,m10db,legacy,morph_fusion_gray_residual_a01,97.66
B,RF PromptAD,chirp_signal,WeaponMuseum_spectrum,m20db,rf,rgb,85.7
C,Input-enhanced PromptAD,chirp_signal,WeaponMuseum_spectrum,m20db,legacy,morph_fusion_gray_residual_a01,90.32
B,RF PromptAD,chirp_signal,WeaponMuseum_spectrum,m30db,rf,rgb,46.34
C,Input-enhanced PromptAD,chirp_signal,WeaponMuseum_spectrum,m30db,legacy,morph_fusion_gray_residual_a01,72.84
B,RF PromptAD,chirp_signal,Playground_spectrum,m10db,rf,rgb,96.48
C,Input-enhanced PromptAD,chirp_signal,Playground_spectrum,m10db,legacy,morph_fusion_gray_residual_a01,96.32
B,RF PromptAD,chirp_signal,Playground_spectrum,m20db,rf,rgb,92.45
C,Input-enhanced PromptAD,chirp_signal,Playground_spectrum,m20db,legacy,morph_fusion_gray_residual_a01,95.42
B,RF PromptAD,chirp_signal,Playground_spectrum,m30db,rf,rgb,82.76
C,Input-enhanced PromptAD,chirp_signal,Playground_spectrum,m30db,legacy,morph_fusion_gray_residual_a01,91.12
B,RF PromptAD,chirp_signal,TimeSquare_spectrum,m10db,rf,rgb,94.09
C,Input-enhanced PromptAD,chirp_signal,TimeSquare_spectrum,m10db,legacy,morph_fusion_gray_residual_a01,96.84
B,RF PromptAD,chirp_signal,TimeSquare_spectrum,m20db,rf,rgb,93.83
C,Input-enhanced PromptAD,chirp_signal,TimeSquare_spectrum,m20db,legacy,morph_fusion_gray_residual_a01,96.33
B,RF PromptAD,chirp_signal,TimeSquare_spectrum,m30db,rf,rgb,81.71
C,Input-enhanced PromptAD,chirp_signal,TimeSquare_spectrum,m30db,legacy,morph_fusion_gray_residual_a01,91.67
B,RF PromptAD,chirp_signal,Gymnasium_spectrum,m10db,rf,rgb,76.22
C,Input-enhanced PromptAD,chirp_signal,Gymnasium_spectrum,m10db,legacy,morph_fusion_gray_residual_a01,85.11
B,RF PromptAD,chirp_signal,Gymnasium_spectrum,m20db,rf,rgb,74.29
C,Input-enhanced PromptAD,chirp_signal,Gymnasium_spectrum,m20db,legacy,morph_fusion_gray_residual_a01,75.21
B,RF PromptAD,chirp_signal,Gymnasium_spectrum,m30db,rf,rgb,24.79
C,Input-enhanced PromptAD,chirp_signal,Gymnasium_spectrum,m30db,legacy,morph_fusion_gray_residual_a01,42.19
B,RF PromptAD,dsss_signal,WeaponMuseum_spectrum,m10db,rf,rgb,98.67
C,Input-enhanced PromptAD,dsss_signal,WeaponMuseum_spectrum,m10db,legacy,morph_fusion_gray_residual_a01,99.83
B,RF PromptAD,dsss_signal,WeaponMuseum_spectrum,m20db,rf,rgb,96.43
C,Input-enhanced PromptAD,dsss_signal,WeaponMuseum_spectrum,m20db,legacy,morph_fusion_gray_residual_a01,96.99
B,RF PromptAD,dsss_signal,WeaponMuseum_spectrum,m30db,rf,rgb,86.3
C,Input-enhanced PromptAD,dsss_signal,WeaponMuseum_spectrum,m30db,legacy,morph_fusion_gray_residual_a01,86.17
B,RF PromptAD,dsss_signal,Playground_spectrum,m10db,rf,rgb,98.83
C,Input-enhanced PromptAD,dsss_signal,Playground_spectrum,m10db,legacy,morph_fusion_gray_residual_a01,99.84
B,RF PromptAD,dsss_signal,Playground_spectrum,m20db,rf,rgb,96.23
C,Input-enhanced PromptAD,dsss_signal,Playground_spectrum,m20db,legacy,morph_fusion_gray_residual_a01,97.21
B,RF PromptAD,dsss_signal,Playground_spectrum,m30db,rf,rgb,92.32
C,Input-enhanced PromptAD,dsss_signal,Playground_spectrum,m30db,legacy,morph_fusion_gray_residual_a01,94.13
B,RF PromptAD,dsss_signal,TimeSquare_spectrum,m10db,rf,rgb,99.4
C,Input-enhanced PromptAD,dsss_signal,TimeSquare_spectrum,m10db,legacy,morph_fusion_gray_residual_a01,99.84
B,RF PromptAD,dsss_signal,TimeSquare_spectrum,m20db,rf,rgb,98.96
C,Input-enhanced PromptAD,dsss_signal,TimeSquare_spectrum,m20db,legacy,morph_fusion_gray_residual_a01,97.51
B,RF PromptAD,dsss_signal,TimeSquare_spectrum,m30db,rf,rgb,98.93
