method,dataset,scene,noise,i_roc,source_csv
Original PromptAD (legacy + rgb),burst_signal,Gymnasium_spectrum,m10db,92.47,result_split_ablation/original_promptad_legacy_rgb_baseline/burst_signal/Gymnasium_spectrum/m10db/normal_75_25/k_1/csv/Seed_111-results.csv
Original PromptAD (legacy + rgb),burst_signal,Gymnasium_spectrum,m20db,59.04,result_split_ablation/original_promptad_legacy_rgb_baseline/burst_signal/Gymnasium_spectrum/m20db/normal_75_25/k_1/csv/Seed_111-results.csv
Original PromptAD (legacy + rgb),burst_signal,Gymnasium_spectrum,m30db,58.96,result_split_ablation/original_promptad_legacy_rgb_baseline/burst_signal/Gymnasium_spectrum/m30db/normal_75_25/k_1/csv/Seed_111-results.csv
Original PromptAD (legacy + rgb),burst_signal,Playground_spectrum,m10db,100.0,result_split_ablation/original_promptad_legacy_rgb_baseline/burst_signal/Playground_spectrum/m10db/normal_75_25/k_1/csv/Seed_111-results.csv
Original PromptAD (legacy + rgb),burst_signal,Playground_spectrum,m20db,98.49,result_split_ablation/original_promptad_legacy_rgb_baseline/burst_signal/Playground_spectrum/m20db/normal_75_25/k_1/csv/Seed_111-results.csv
Original PromptAD (legacy + rgb),burst_signal,Playground_spectrum,m30db,87.5,result_split_ablation/original_promptad_legacy_rgb_baseline/burst_signal/Playground_spectrum/m30db/normal_75_25/k_1/csv/Seed_111-results.csv
Original PromptAD (legacy + rgb),burst_signal,TimeSquare_spectrum,m10db,99.0,result_split_ablation/original_promptad_legacy_rgb_baseline/burst_signal/TimeSquare_spectrum/m10db/normal_75_25/k_1/csv/Seed_111-results.csv
Original PromptAD (legacy + rgb),burst_signal,TimeSquare_spectrum,m20db,99.04,result_split_ablation/original_promptad_legacy_rgb_baseline/burst_signal/TimeSquare_spectrum/m20db/normal_75_25/k_1/csv/Seed_111-results.csv
Original PromptAD (legacy + rgb),burst_signal,TimeSquare_spectrum,m30db,85.45,result_split_ablation/original_promptad_legacy_rgb_baseline/burst_signal/TimeSquare_spectrum/m30db/normal_75_25/k_1/csv/Seed_111-results.csv
Original PromptAD (legacy + rgb),burst_signal,WeaponMuseum_spectrum,m10db,96.44,result_split_ablation/original_promptad_legacy_rgb_baseline/burst_signal/WeaponMuseum_spectrum/m10db/normal_75_25/k_1/csv/Seed_111-results.csv
Original PromptAD (legacy + rgb),burst_signal,WeaponMuseum_spectrum,m20db,92.44,result_split_ablation/original_promptad_legacy_rgb_baseline/burst_signal/WeaponMuseum_spectrum/m20db/normal_75_25/k_1/csv/Seed_111-results.csv
Original PromptAD (legacy + rgb),burst_signal,WeaponMuseum_spectrum,m30db,73.22,result_split_ablation/original_promptad_legacy_rgb_baseline/burst_signal/WeaponMuseum_spectrum/m30db/normal_75_25/k_1/csv/Seed_111-results.csv
Original PromptAD (legacy + rgb),chirp_signal,Gymnasium_spectrum,m10db,76.26,result_split_ablation/original_promptad_legacy_rgb_baseline/chirp_signal/Gymnasium_spectrum/m10db/normal_75_25/k_1/csv/Seed_111-results.csv
Original PromptAD (legacy + rgb),chirp_signal,Gymnasium_spectrum,m20db,74.5,result_split_ablation/original_promptad_legacy_rgb_baseline/chirp_signal/Gymnasium_spectrum/m20db/normal_75_25/k_1/csv/Seed_111-results.csv
Original PromptAD (legacy + rgb),chirp_signal,Gymnasium_spectrum,m30db,26.25,result_split_ablation/original_promptad_legacy_rgb_baseline/chirp_signal/Gymnasium_spectrum/m30db/normal_75_25/k_1/csv/Seed_111-results.csv
Original PromptAD (legacy + rgb),chirp_signal,Playground_spectrum,m10db,96.2,result_split_ablation/original_promptad_legacy_rgb_baseline/chirp_signal/Playground_spectrum/m10db/normal_75_25/k_1/csv/Seed_111-results.csv
